publisher_name
11 bit studios S.A.
2K Games
505 Games S.p.A.
Active Gaming Media Co.
Activision Publishing
Aksys Games Localization
Aniplex Inc.
Aniplex of America Inc.
Annapurna Games
Annapurna Interactive
Arc System Works Co.
Atari Interactive
Atlus
Atlus Co.
Bandai Namco Entertainment America Inc.
Bandai Namco Entertainment Inc.
Bethesda Softworks LLC
Bigmode
Binary Haze Interactive Inc.
Black Tabby Games
Blizzard Entertainment Inc.
Broccoli
CD Projekt S.A.
CE Europe Ltd.
CINEMAX
Capcom Co.
Capcom U.S.A.
Cellar Door Games
Chengdu Joystick IP Service Ltd.
Clouded Leopard Entertainment Inc.
Coffee Stain Publishing AB
Cygames
Deck13 Spotlight GmbH
Devolver Digital
DotEmu SAS
Electronic Arts
Epic Games
Epopeia Games
Fellow Traveller Games
Feral Interactive Ltd.
Finji
Focus Entertainment
FromSoftware
Gamirror Games
Giant Squid LLC
H2 Interactive Co.
Half Mermaid Productions
Hammer95
Inc.
Io-Interactive A/S
Jeux Kitfox Inc.
Kepler Interactive Limited
Koei Tecmo America Corp.
Koei Tecmo Games Co.
Konami Digital Entertainment Co.
LLC
Larian Studios NV
Level-5 Inc.
Ltd.
MINTROCKET
Microsoft Corporation
Mossmouth
NIS America
Netflix Inc.
Nexon Co.
Nihon Falcom Corp.
Nintendo (Hong Kong) Ltd.
Nintendo Australia Pty.
Nintendo Co.
Nintendo of America Inc.
Nintendo of Europe GmbH
Nintendo of Korea Co.
OMOCAT
Oculus VR
Paradox Interactive AB
Plaion GmbH (Austria)
PlayStack Limited
PlayStation Publishing LLC
Playdigious SAS
Playstation PC LLC
Plug In Digital SAS
Powerhoof Pty Ltd
Raw Fury AB
SA
SCE Worldwide Studios
SEGA Corporation
SEGA Europe Ltd.
SEGA Games Co.
SEGA of America
Sabotage Studio Inc.
Serenity Forge LLC
Skybound LLC
Smilegate Entertainment
Sony Computer Entertainment Europe Ltd.
Sony Interactive Entertainment (Shanghai) Co.
Sony Interactive Entertainment America LLC
Sony Interactive Entertainment Europe Ltd.
Sony Interactive Entertainment Inc.
Spike Chunsoft
Spike Chunsoft Co.
Square Enix
Square Enix Co.
Square Enix Limited
Supergiant Games
Take-Two Interactive Software
Team Cherry Pty Ltd.
Team17 Digital Limited
Tour De Pizza
Ubisoft Entertainment SA
Valve Corporation
Warner Bros. Interactive Entertainment Inc.
Xseed Games
Yooreka Studio
iam8bit
s.r.o.
