developer_name
11 bit studios S.A.
ADGLOBE Inc.
Acquire Corp.
Angel Matrix LLC
Arika Co.
Artdink Corporation
Arte Piazza Ltd.
Asobo Studio S.A.R.L.
Atlus Co.
Bada Games
Bandai Namco Studios Inc.
Bay 12 Games
BioWare Edmonton
Black Tabby Games
Blizzard Entertainment Inc.
Bloober Team SA
Bluepoint Games
CD Projekt RED
Capcom Co.
Cellar Door Games
Creative Assembly Ltd.
Croteam
Cygames
Daniel Mullins Games Ltd.
Deconstructeam
Digital Eclipse Entertainment Partners Co.
Dogubomb
DotEmu SAS
Double Fine Productions
Easy Trigger AB
FromSoftware
Gemdrops
Geography of Robots
Geometric Interactive
Giant Squid LLC
GoodbyeWorld Games
Grezzo Co.
Guard Crush Games Inc.
Guerrilla B.V.
Gust
HAL Laboratory
Half Mermaid Productions
Hammer95
Hazelight Studios AB
Housemarque Ltd.
Hyde
Inc.
Insomniac Games
Intelligent Systems Co.
Io-Interactive A/S
Iron Galaxy Studios
Isometricorp Games Ltd.
Jump Over The Age
KO.DLL
Kojima Productions Co.
Konami Digital Entertainment Co.
LLC
Larian Studios NV
Level-5 Inc.
Little Flag Software
Live Wire Inc.
Lizardcube
LocalThunk Inc.
Ltd.
M2 Co.
MINTROCKET
MachineGames Sweden AB
Media Molecule Ltd.
Media.Vision Entertainment Inc.
Mercury Steam Entertainment S.L.
Modern Storyteller Pty Ltd
Monolith Software
Moon Studios GmbH
Mossmouth
Motive Studio
Naughty Dog
NeoBards Entertainment Ltd.
Nightdive Studios
Nihon Falcom Corp.
Nintendo Cube Co.
Nintendo EAD
Nintendo EPD
Nomada Studio
OMOCAT
Obsidian Entertainment
PH3 GmbH
Paradox Development Studio
Petroglyph Games Inc.
Playground Games Ltd
Polyphony Digital Inc.
Powerhoof Pty Ltd
Remedy Entertainment Oyj
Retro Studios Inc.
Roll7
Rundisc
Ryu ga Gotoku Studio
SIE Santa Monica Studio
Sabotage Studio Inc.
Sandfall SAS
Sanzaru Games Inc.
Shared Memory LLC
Simogo AB
Sony Interactive Entertainment Japan Studio
Spike Chunsoft Co.
Square Co.
Square Enix Co.
Square Enix Creative Business Unit I
Square Enix Creative Business Unit III
Sucker Punch Productions LLC
Supamonks Studio
TT Games Studios Ltd.
Tango Gameworks
Team ASOBI
Team Cherry Pty Ltd.
Team Salvato
Terrible Toybox
The
The Game Kitchen SL
Too Kyo Games
Tose Co.
Tour De Pizza
Toylogic Inc.
Two Point Studios Ltd.
Type-Moon
Ubisoft Montpellier SAS
Ubisoft Paris Studios SARL
Ubisoft Studios SRL
Valve Corporation
Vanillaware Ltd.
Vicarious Visions
Warhorse Studios s.r.o.
fuzz
h.a.n.d. Inc.
id Software
indieszero Co.
sunset visitor
xeen Inc.
